category_id;parent_id;path;level;children_count;value;place_1;place_2;place_3;Places
227;226;1/211/226/227;3;6;Accesorios para celulares;Office;Living Room;Street;Office
253;252;1/211/252/253;3;0;TV;Living Room;Bedroom;Dinning room;Bedroom
255;252;1/211/252/255;3;0;Accesorios para TV;Living Room;Bedroom;Dinning room;Kitchen
272;271;1/211/271/272;3;0;Notebooks;Office;Living Room;;Living Room
313;226;1/211/226/313;3;0;Celulares;Office;Living Room;Street;Dinning room
544;237;1/211/233/237/544;4;0;Mixer y multiprocesadoras;Kitchen;;;Yard
545;237;1/211/233/237/545;4;0;Cafeteras;Kitchen;Dinning Room;;Balcony
547;237;1/211/233/237/547;4;0;Tostadoras y sandwicheras;Kitchen;;;Beach
549;237;1/211/233/237/549;4;0;Batidoras;Kitchen;;;Camping
550;237;1/211/233/237/550;4;0;Freidoras;Kitchen;;;
551;237;1/211/233/237/551;4;0;Jarras eléctricas;Kitchen;;;
553;237;1/211/233/237/553;4;0;Microondas;Kitchen;;;
1462;1461;1/211/9083/1461/1462;4;0;Sillas y bancos;Yard;Balcony;;
1463;1461;1/211/9083/1461/1463;4;0;Gazebos;Yard;;;
1464;1461;1/211/9083/1461/1464;4;0;Juegos de Balcón;Yard;Balcony;;
1465;1461;1/211/9083/1461/1465;4;0;Juegos de Jardín;Yard;Balcony;;
1466;1461;1/211/9083/1461/1466;4;0;Mesas;Yard;;;
1468;1461;1/211/9083/1461/1468;4;0;Sombrillas;Yard;Beach;;
1476;9083;1/211/9083/1476;3;13;Playa y camping;Yard;Beach;;
1477;1476;1/211/9083/1476/1477;4;0;Carpas;Yard;Camping;;
1478;1476;1/211/9083/1476/1478;4;0;Colchones;Yard;Camping;Bedroom;
1479;1476;1/211/9083/1476/1479;4;0;Mesas;Yard;;;
1481;1476;1/211/9083/1476/1481;4;0;Reposeras;Yard;Beach;;
1482;1476;1/211/9083/1476/1482;4;0;Sillas;Yard;Beach;;
1483;1476;1/211/9083/1476/1483;4;0;Sombrillas;Yard;Beach;;
1484;1476;1/211/9083/1476/1484;4;0;Toldos;Yard;;;
1486;1461;1/211/9083/1461/1486;4;0;Inflables;Yard;Beach;;
1488;1476;1/211/9083/1476/1488;4;0;Catres;Yard;;;
1489;1476;1/211/9083/1476/1489;4;0;Conservadoras;Yard;Beach;;
1490;9083;1/211/9083/1490;3;2;Jardinería;Yard;;;
1493;1476;1/211/9083/1476/1493;4;0;Mochilas;Street;;;
1494;1490;1/211/9083/1490/1494;4;0;Herramientas;Yard;;;
1496;1476;1/211/9083/1476/1496;4;0;Sobres;Camping;;;
1497;1476;1/211/9083/1476/1497;4;0;Inflables;Beach;Yard;;
1771;271;1/211/271/1771;3;0;Impresoras y Multifunción;Office;;;
2242;2241;1/211/2240/2241/2242;4;0;Tablets;Office;Living Room;Bedroom;
2243;2241;1/211/2240/2241/2243;4;0;Consolas y accesorios;Living Room;Playroom;;
2244;2241;1/211/2240/2241/2244;4;0;Drones;Yard;Beach;Camping;
2245;2240;1/211/2240/2245;3;5;Lavado y secado;Kitchen;Bathroom;;
2246;2245;1/211/2240/2245/2246;4;0;Lavarropas y Secarropas;Kitchen;Bathroom;;
2247;2245;1/211/2240/2245/2247;4;0;Aspiradoras;Living Room;Bedroom;Kitchen;
2248;2245;1/211/2240/2245/2248;4;0;Lavavajillas;Kitchen;;;
2249;2245;1/211/2240/2245/2249;4;0;Planchas;Bedroom;;;
2250;2245;1/211/2240/2245/2250;4;0;Centrifugadoras;Kitchen;Bathroom;;
2252;2251;1/211/2240/2251/2252;4;0;Cocinas y Hornos;Kitchen;;;
2254;2253;1/211/2240/2251/2253/2254;5;0;Microondas;Kitchen;;;
2255;2253;1/211/2240/2251/2253/2255;5;0;Mixer y Multiprocesadoras;Kitchen;;;
2256;2253;1/211/2240/2251/2253/2256;5;0;Freidoras;Kitchen;;;
2257;2253;1/211/2240/2251/2253/2257;5;0;Jarras eléctricas;Kitchen;;;
2258;2253;1/211/2240/2251/2253/2258;5;0;Licuadoras Jugueras y Exprimidores;Kitchen;;;
2259;2253;1/211/2240/2251/2253/2259;5;0;Tostadoras y Sandwicheras;Kitchen;;;
2260;2253;1/211/2240/2251/2253/2260;5;0;Cafeteras;Kitchen;;;
2261;2253;1/211/2240/2251/2253/2261;5;0;Máquinas de cocina;Kitchen;;;
2262;2253;1/211/2240/2251/2253/2262;5;0;Batidoras;Kitchen;;;
2263;2251;1/211/2240/2251/2263;4;0;Campanas y Extractores;Kitchen;;;
2264;2253;1/211/2240/2251/2253/2264;5;0;Purificadores de agua;Kitchen;;;
2265;2241;1/211/2240/2241/2265;4;0;Juegos de mesa;Playroom;;;
2266;2241;1/211/2240/2241/2266;4;0;Libros;Bedroom;Living Room;;
2267;2240;1/211/2240/2267;3;8;Home Office;Office;;;
2268;2267;1/211/2240/2267/2268;4;0;Audio;Living Room;Office;;
2269;2267;1/211/2240/2267/2269;4;0;Accesorios;Living Room;Street;;
2270;2267;1/211/2240/2267/2270;4;0;Celulares;Office;Living Room;Street;
2271;2267;1/211/2240/2267/2271;4;0;Notebooks;Office;Living Room;;
2272;2267;1/211/2240/2267/2272;4;0;Mouse y Teclados;Office;;;
2273;2267;1/211/2240/2267/2273;4;0;Sillas y Escritorios;Office;Bedroom;;
2274;2267;1/211/2240/2267/2274;4;0;Impresoras y Multifunción;Office;;;
2275;2267;1/211/2240/2267/2275;4;0;Tablets;Office;;;
2276;2240;1/211/2240/2276;3;0;Fitness;Yard;Living Room;;
2387;2383;1/211/2240/2383/2387;4;3;Climatización;Living Room;Bedroom;Office;
2388;2387;1/211/2240/2383/2387/2388;5;0;Aire acondicionado;Living Room;Bedroom;Office;
2389;2383;1/211/2240/2383/2389;4;0;Calefones y termotanques;Bathroom;Kitchen;;
2390;2387;1/211/2240/2383/2387/2390;5;0;Calefactores y convectores;Living Room;Bedroom;Office;
2392;2387;1/211/2240/2383/2387/2392;5;0;Calientacamas;Bedroom;;;
2394;2393;1/211/2240/2383/2393/2394;5;0;Cafeteras;Kitchen;;;
2395;2393;1/211/2240/2383/2393/2395;5;0;Secadores;Bathroom;;;
2396;2383;1/211/2240/2383/2396;4;2;Textiles;Bedroom;;;
2397;2396;1/211/2240/2383/2396/2397;5;0;Ropa de cama;Bedroom;;;
2398;2396;1/211/2240/2383/2396/2398;5;0;Textiles de baño;Bathroom;;;
2401;2393;1/211/2240/2383/2393/2401;5;0;Jarras eléctricas;Kitchen;;;
2402;2383;1/211/2240/2383/2402;4;2;Limpieza y lavado;Kitchen;;;
2403;2402;1/211/2240/2383/2402/2403;5;0;Lavarropas y secarropas;Kitchen;Bathroom;;
2405;2393;1/211/2240/2383/2393/2405;5;0;Microondas;Kitchen;;;
2406;2402;1/211/2240/2383/2402/2406;5;0;Aspiradoras;Living Room;Bedroom;Kitchen;
2424;2422;1/211/2422/2424;3;0;Bebés y niños;Playroom;;;
2432;2422;1/211/2422/2432;3;0;Camping;Camping;;;
2433;2422;1/211/2422/2433;3;4;Cocina;Kitchen;;;
2434;2433;1/211/2422/2433/2434;4;0;Accesorios;Kitchen;;;
2435;2433;1/211/2422/2433/2435;4;0;Vajilla y cubiertos;Kitchen;;;
2436;2433;1/211/2422/2433/2436;4;0;Ollas;Kitchen;;;
2437;2433;1/211/2422/2433/2437;4;0;Muebles;Kitchen;;;
2438;2422;1/211/2422/2438;3;0;Decoración y Menage;Living Room;Balcony;;
2439;2422;1/211/2422/2439;3;3;Dormitorio;Bedroom;;;
2440;2439;1/211/2422/2439/2440;4;0;Acolchados y sábanas;Bedroom;;;
2441;2439;1/211/2422/2439/2441;4;0;Muebles;Bedroom;;;
2442;2439;1/211/2422/2439/2442;4;0;Camas y colchones;Bedroom;;;
2443;2422;1/211/2422/2443;3;1;Jardín;Yard;;;
2444;2422;1/211/2422/2444;3;5;Living;Living Room;;;
2445;2444;1/211/2422/2444/2445;4;0;Mesas;Living Room;;;
2447;2444;1/211/2422/2444/2447;4;0;Sillas y banquetas;Living Room;;;
2448;2444;1/211/2422/2444/2448;4;0;Sillones;Living Room;;;
2449;2444;1/211/2422/2444/2449;4;0;Estanterías y estantes;Living Room;;;
2450;2444;1/211/2422/2444/2450;4;0;Racks y modulares;Living Room;;;
2462;2422;1/211/2422/2462;3;0;Herramientas;Yard;;;
2463;2443;1/211/2422/2443/2463;4;0;Piscinas;Yard;;;
2494;2487;1/211/2485/2487/2494;4;0;TV;Living Room;Bedroom;Office;
2495;2487;1/211/2485/2487/2495;4;0;Limpieza y lavado;Kitchen;;;
2496;2487;1/211/2485/2487/2496;4;0;Celulares y accesorios;Office;Living Room;Street;
2498;2487;1/211/2485/2487/2498;4;0;Heladeras;Kitchen;;;
2499;2487;1/211/2485/2487/2499;4;0;Audio y tecnología;Office;Living Room;;
2500;2488;1/211/2485/2488/2500;4;0;2 plazas;Bedroom;;;
2501;2488;1/211/2485/2488/2501;4;0;1 plaza;Bedroom;;;
2502;2488;1/211/2485/2488/2502;4;0;Queen;Bedroom;;;
2503;2488;1/211/2485/2488/2503;4;0;King;Bedroom;;;
2504;2489;1/211/2485/2489/2504;4;0;TV;Living Room;Bedroom;Office;
2505;2489;1/211/2485/2489/2505;4;0;Heladeras;Kitchen;;;
2506;2489;1/211/2485/2489/2506;4;0;Audio y tecnología;Office;Living Room;;
2508;2489;1/211/2485/2489/2508;4;0;Celulares;Office;Living Room;Street;
2520;2519;1/211/2422/2519/2520;4;0;Cremas y bronceadores;Street;Yard;Beach;
2521;2519;1/211/2422/2519/2521;4;0;Perfumes;Street;;;
2523;2422;1/211/2422/2523;3;0;Electrodomésticos;Living Room;Kitchen;Office;
8610;8609;1/211/233/8609/8610;4;0;Caloventiladores;Living Room;Bedroom;;
8611;8609;1/211/233/8609/8611;4;2;Calientacamas;Bedroom;;;
8612;8609;1/211/233/8609/8612;4;0;Aire acondicionado;Living Room;Bedroom;Office;
8613;233;1/211/233/8613;3;11;Cocinas y hornos;Kitchen;;;
8614;8613;1/211/233/8613/8614;4;3;Cocinas;Kitchen;;;
8616;8615;1/211/233/8615/8616;4;0;Heladeras;Kitchen;;;
8617;8605;1/211/233/8605/8617;4;2;Lavarropas;Kitchen;Bathroom;;
8618;8609;1/211/233/8609/8618;4;2;Estufas;Living Room;Bedroom;Office;
8619;233;1/211/233/8619;3;10;Cuidado personal;Bathroom;Street;;
8620;8619;1/211/233/8619/8620;4;3;Cuidado personal masculino;Bathroom;Street;;
8621;8609;1/211/233/8609/8621;4;0;Convectores;Living Room;Bedroom;Office;
8622;8619;1/211/233/8619/8622;4;5;Cuidado personal femenino;Bathroom;Street;;
8623;8613;1/211/233/8613/8623;4;4;Anafes;Kitchen;;;
8624;8613;1/211/233/8613/8624;4;0;Hornos;Kitchen;;;
8625;8605;1/211/233/8605/8625;4;0;Lavavajillas;Kitchen;;;
8627;8609;1/211/233/8609/8627;4;0;Ventiladores;Living Room;Bedroom;Office;
8628;8605;1/211/233/8605/8628;4;2;Secarropas;Bathroom;Kitchen;;
8629;8613;1/211/233/8613/8629;4;0;Campanas y extractores;Bathroom;Kitchen;;
8630;8605;1/211/233/8605/8630;4;1;Lavasecarropas;Bathroom;Kitchen;;
8631;8615;1/211/233/8615/8631;4;0;Freezers;Kitchen;;;
8632;8615;1/211/233/8615/8632;4;0;Frigobares;Kitchen;Bedroom;Office;
8634;271;1/211/271/8634;3;0;Telefonía fija;Office;Living Room;;
8635;233;1/211/233/8635;3;0;Termotanques;Bathroom;Bathroom;;
8959;227;1/211/226/227/8959;4;0;Fundas;Office;;;
8960;227;1/211/226/227/8960;4;0;Auriculares;Office;Street;;
8961;227;1/211/226/227/8961;4;0;Cargadores y cables;Office;Street;;
8962;227;1/211/226/227/8962;4;0;Baterías externas;Office;Street;;
8963;227;1/211/226/227/8963;4;0;Smartwatch;Office;Street;;
8964;227;1/211/226/227/8964;4;0;Memorias;Office;Street;;
8965;8620;1/211/233/8619/8620/8965;5;0;Cortabarbas;Bathroom;Street;;
8966;8620;1/211/233/8619/8620/8966;5;0;Afeitadoras;Bathroom;;;
8967;8622;1/211/233/8619/8622/8967;5;0;Depiladoras;Bathroom;;;
8968;8622;1/211/233/8619/8622/8968;5;0;Planchitas y rizadores;Bathroom;;;
8970;8620;1/211/233/8619/8620/8970;5;0;Cortapelos;Bathroom;;;
8971;8622;1/211/233/8619/8622/8971;5;0;Secadores;Bathroom;;;
8972;8622;1/211/233/8619/8622/8972;5;0;Balanzas;Bathroom;;;
8974;8973;1/211/233/237/8973/8974;5;2;Aspiradoras;Living Room;Bedroom;Kitchen;
8975;8974;1/211/233/237/8973/8974/8975;6;0;Aspiradoras;Living Room;Bedroom;Kitchen;
8976;8974;1/211/233/237/8973/8974/8976;6;0;Aspiradoras robot;Living Room;Bedroom;Kitchen;
8979;8973;1/211/233/237/8973/8979;5;0;Planchas;Bedroom;;;
8980;8611;1/211/233/8609/8611/8980;5;0;2 plazas;Bedroom;;;
8981;8611;1/211/233/8609/8611/8981;5;0;1 plaza;Bedroom;;;
8982;8617;1/211/233/8605/8617/8982;5;0;Carga superior;Kitchen;Bathroom;;
8983;8617;1/211/233/8605/8617/8983;5;0;Carga frontal;Kitchen;Bathroom;;
8984;8628;1/211/233/8605/8628/8984;5;0;Carga frontal;Kitchen;Bathroom;;
8985;8628;1/211/233/8605/8628/8985;5;0;Carga superior;Kitchen;Bathroom;;
8986;8630;1/211/233/8605/8630/8986;5;0;Carga frontal;Kitchen;Bathroom;;
8988;8618;1/211/233/8609/8618/8988;5;0;Eléctricas;Kitchen;;;
8989;8618;1/211/233/8609/8618/8989;5;0;A gas;Kitchen;;;
8990;8614;1/211/233/8613/8614/8990;5;0;Combinadas;Kitchen;;;
8991;8614;1/211/233/8613/8614/8991;5;0;A gas;Kitchen;;;
8998;8614;1/211/233/8613/8614/8998;5;0;Eléctricas;Kitchen;;;
9000;8623;1/211/233/8613/8623/9000;5;0;A gas;Kitchen;;;
9001;8623;1/211/233/8613/8623/9001;5;0;Inducción;Kitchen;;;
9002;8623;1/211/233/8613/8623/9002;5;0;Eléctrico;Kitchen;;;
9003;8623;1/211/233/8613/8623/9003;5;0;Vitrocerámico;Kitchen;;;
9004;271;1/211/271/9004;3;0;Monitores;Office;;;
9006;9005;1/211/271/9005/9006;4;0;Cargadores;Office;Street;;
9007;9005;1/211/271/9005/9007;4;0;Bandejas;Office;;;
9008;9005;1/211/271/9005/9008;4;0;Cables y adaptadores;Office;Street;;
